AbertsTowhee                                      HornedGrebeBreeding
CaliforniaThrasher                                Red-neckedGrebeBreeding
CaliforniaTowhee                                  Red-neckedGrebeNonbreedingjuvenile
CalliopeHummingbirdAdultMale                      Red-tailedHawkDarkmorph
CalliopeHummingbirdFemaleimmature                 Red-tailedHawkLightmorphadult
CanadaGoose                                       Red-tailedHawkLightmorphimmature
CanadaWarbler                                     Red-throatedLoonBreeding
CanvasbackBreedingmale                            Red-throatedLoonNonbreedingjuvenile
CanyonTowhee                                      Red-wingedBlackbirdFemalejuvenile
CanyonWren                                        RedCrossbillAdultMale
CapeMayWarbler                                    RedCrossbillFemalejuvenile
CarolinaChickadee                                 ReddishEgretWhitemorph
CarolinaWren                                      RedheadBreedingmale
CaspianTern                                       Ring-billedGullAdult
CassinsFinchAdultMale                             Ring-billedGullImmature
CassinsFinchFemaleimmature                        Ring-neckedDuckBreedingmale
CassinsVireo                                      Ring-neckedPheasantMale
CaveSwallow                                       RockPigeon
CedarWaxwing                                      Rose-breastedGrosbeakAdultMale
Chestnut-backedChickadee                          Rose-breastedGrosbeakFemaleimmaturemale
Chestnut-sidedWarblerBreedingmale                 RoseateSpoonbill
Chestnut-sidedWarblerFemaleimmaturemale           RosssGoose
ChihuahuanRaven                                   Rough-leggedHawkLightmorph
ChimneySwift                                      RoyalTern
ChippingSparrowBreeding                           Ruby-crownedKinglet
ChippingSparrowImmaturenonbreedingadult           Ruby-throatedHummingbirdAdultMale
ClarksGrebe                                       Ruby-throatedHummingbirdFemaleimmature
ClarksNutcracker                                  RuddyDuckBreedingmale
CliffSwallow                                      RuddyDuckFemalejuvenile
CommonEiderAdultmale                              RuddyDuckWintermale
CommonEiderFemalejuvenile                         RuffedGrouse
CommonGallinuleImmature                           RufousHummingbirdAdultMale
CommonGoldeneyeBreedingmale                       RufousHummingbirdFemaleimmature
CommonGoldeneyeFemaleEclipsemale                  RustyBlackbird
CommonGrackle                                     SanderlingBreeding
CommonGround-Dove                                 SanderlingNonbreedingjuvenile
CommonLoonBreeding                                SandhillCrane
CommonLoonNonbreedingjuvenile                     SavannahSparrow
CommonMerganserBreedingmale                       SaysPhoebe
CommonNighthawk                                   ScaledQuail
CommonRaven                                       ScarletTanagerBreedingMale
CommonRedpoll                                     ScarletTanagerFemaleNonbreedingMale
CommonTern                                        Scissor-tailedFlycatcher
CommonYellowthroatAdultMale                       Sharp-shinnedHawkAdult
CommonYellowthroatFemaleimmaturemale              Sharp-shinnedHawkImmature
CordilleranFlycatcher                             Short-billedDowitcher
CostasHummingbirdAdultMale                        SnowBuntingBreedingadult
CrestedCaracara                                   SnowBuntingNonbreeding
Dark-eyedJuncoOregon                              SnowyEgret
Dark-eyedJuncoPink-sided                          SnowyOwl
Dark-eyedJuncoRed-backedGray-headed               SolitarySandpiper
Dark-eyedJuncoSlate-colored                       SongSparrow
Dark-eyedJuncoWhite-winged                        SpottedSandpiperBreeding
Dickcissel                                        SpottedTowhee
Double-crestedCormorantAdult                      SummerTanagerAdultMale
DownyWoodpecker                                   SummerTanagerFemale
DunlinBreeding                                    SummerTanagerImmatureMale
DunlinNonbreedingjuvenile                         SurfScoterFemaleimmature
EaredGrebeBreeding                                SurfScoterMale
EaredGrebeNonbreedingjuvenile                     SwainsonsHawkImmature
EasternMeadowlark                                 SwainsonsThrush
EasternScreech-Owl                                Swallow-tailedKite
EasternTowhee                                     SwampSparrow
EuropeanStarlingBreedingAdult                     TennesseeWarbler
EuropeanStarlingJuvenile                          TownsendsWarbler
EuropeanStarlingNonbreedingAdult                  TreeSwallow
EveningGrosbeakAdultMale                          TricoloredHeron
EveningGrosbeakFemaleJuvenile                     TuftedTitmouse
FieldSparrow                                      TundraSwan
FishCrow                                          TurkeyVulture
FloridaScrub-Jay                                  VariedThrush
ForstersTern                                      VauxsSwift
FoxSparrowRed                                     Veery
FoxSparrowSooty                                   Verdin
FoxSparrowThick-billedSlate-colored               VermilionFlycatcherAdultmale
GadwallBreedingmale                               VermilionFlycatcherFemaleimmature
GadwallFemaleEclipsemale                          VesperSparrow
GambelsQuailFemalejuvenile                        Violet-greenSwallow
GambelsQuailMale                                  WarblingVireo
GilaWoodpecker                                    WesternGrebe
Glaucous-wingedGullAdult                          WesternGullAdult
Glaucous-wingedGullImmature                       WesternGullImmature
GlossyIbis                                        WesternKingbird
Golden-crownedSparrowAdult                        WesternMeadowlark
Golden-crownedSparrowImmature                     WesternScrub-Jay
Golden-frontedWoodpecker                          WesternTanagerFemaleNonbreedingMale
GoldenEagleAdult                                  WesternWood-Pewee
GoldenEagleImmature                               White-breastedNuthatch
Gray-crownedRosy-Finch                            White-crownedSparrowAdult
GrayCatbird                                       White-crownedSparrowImmature
GrayJay                                           White-eyedVireo
GreatBlack-backedGullAdult                        White-tailedKite
GreatBlueHeron                                    White-throatedSparrowTan-stripedimmature
GreatCormorantAdult                               White-throatedSparrowWhite-striped
GreatCormorantImmature                            White-throatedSwift
GreatCrestedFlycatcher                            White-wingedCrossbillAdultMale
GreatEgret                                        White-wingedScoterFemalejuvenile
GreaterRoadrunner                                 White-wingedScoterMale
GreaterScaupFemaleEclipsemale                     WildTurkey
GreaterWhite-frontedGoose                         WilsonsPhalaropeBreeding
Green-tailedTowhee                                WilsonsWarbler
Green-wingedTealMale                              WinterWren
HairyWoodpecker                                   WoodDuckBreedingmale
HarlequinDuckFemalejuvenile                       WoodDuckFemaleEclipsemale
HarlequinDuckMale                                 Wrentit
HarrissHawk                                       Yellow-belliedSapsucker
HarrissSparrowAdult                               Yellow-billedCuckoo
HarrissSparrowImmature                            Yellow-billedMagpie
HeermannsGullAdult                                Yellow-breastedChat
HeermannsGullImmature                             Yellow-crownedNight-HeronAdult
HermitThrush                                      Yellow-headedBlackbirdAdultMale
HerringGullAdult                                  Yellow-headedBlackbirdFemaleImmatureMale
HerringGullImmature                               Yellow-rumpedWarblerBreedingMyrtle
HoodedMerganserBreedingmale                       Yellow-rumpedWarblerWinterjuvenileAudubons
HoodedMerganserFemaleimmaturemale                 Yellow-rumpedWarblerWinterjuvenileMyrtle
HoodedOrioleAdultmale                             Yellow-throatedVireo
HoodedOrioleFemaleImmaturemale                    Yellow-throatedWarbler
HoodedWarbler                                     YellowWarbler

