AbertsTowhee                                 LarkBuntingBreedingmale
Black-crownedNight-HeronAdult                NorthernGannetImmatureJuvenile
Black-crownedNight-HeronImmature             NorthernHarrierAdultmale
Black-headedGrosbeakAdultMale                NorthernHarrierFemaleimmature
Black-headedGrosbeakFemaleimmaturemale       NorthernParula
Black-leggedKittiwakeAdult                   NorthernPintailBreedingmale
Black-leggedKittiwakeImmature                NorthernPintailFemaleEclipsemale
Black-neckedStilt                            NorthernPygmy-Owl
Black-tailedGnatcatcher                      NorthernRough-wingedSwallow
Black-throatedBlueWarblerAdultMale           NorthernSaw-whetOwl
Black-throatedBlueWarblerFemaleImmaturemale  NorthernShovelerBreedingmale
Black-throatedGrayWarbler                    NorthernShovelerFemaleEclipsemale
Black-throatedGreenWarbler                   NorthernWaterthrush
BlackGuillemotBreeding                       NorthwesternCrow
BlackGuillemotNonbreedingjuvenile            NuttallsWoodpecker
BlackOystercatcher                           OakTitmouse
BlackPhoebe                                  OrchardOrioleAdultMale
BlackRosy-Finch                              Osprey
BlackScoterFemalejuvenile                    Ovenbird
BlackScoterMale                              Pacific-slopeFlycatcher
BlackSkimmer                                 PacificLoonBreeding
BlackTurnstone                               PacificLoonNonbreedingjuvenile
BlackVulture                                 PacificWren
BlackburnianWarbler                          PalmWarbler
BlackpollWarblerBreedingmale                 PelagicCormorant
BlackpollWarblerFemalejuvenile               PeregrineFalconAdult
Blue-grayGnatcatcher                         PeregrineFalconImmature
Blue-headedVireo                             PhainopeplaFemalejuvenile
Blue-wingedTealFemalejuvenile                PhainopeplaMale
Blue-wingedTealMale                          PigeonGuillemotBreeding
Blue-wingedWarbler                           PigeonGuillemotNonbreedingjuvenile
BlueGrosbeakAdultMale                        PileatedWoodpecker
BohemianWaxwing                              PineGrosbeakAdultMale
BonapartesGull                               PineGrosbeakFemalejuvenile
BorealChickadee                              PineSiskin
BrandtsCormorant                             PlumbeousVireo
Brant                                        PrairieFalcon
BrewersBlackbirdMale                         PrairieWarbler
BridledTitmouse                              ProthonotaryWarbler
Broad-billedHummingbirdAdultMale             PurpleFinchAdultMale
Broad-billedHummingbirdFemaleimmature        PurpleGallinuleAdult
Broad-tailedHummingbirdAdultMale             PurpleGallinuleImmature
Broad-tailedHummingbirdFemaleimmature        PurpleMartinAdultmale
Broad-wingedHawkAdult                        PurpleMartinFemalejuvenile
Broad-wingedHawkImmature                     PygmyNuthatch
BronzedCowbird                               Pyrrhuloxia
Brown-cappedRosy-Finch                       Red-belliedWoodpecker
Brown-headedCowbirdFemaleJuvenile            Red-breastedMerganserBreedingmale
Brown-headedCowbirdMale                      Red-breastedMerganserFemaleimmaturemale
Brown-headedNuthatch                         Red-breastedNuthatch
BrownThrasher                                Red-breastedSapsucker
BuffleheadBreedingmale                       Red-headedWoodpeckerAdult
BuffleheadFemaleimmaturemale                 Red-headedWoodpeckerImmature
BullocksOrioleAdultmale                      Red-napedSapsucker
BullocksOrioleFemaleImmaturemale             Red-neckedGrebeBreeding
BurrowingOwl                                 Red-neckedGrebeNonbreedingjuvenile
Bushtit                                      Red-shoulderedHawkAdult
CacklingGoose                                Red-shoulderedHawkImmature
CaliforniaQuailFemalejuvenile                Red-tailedHawkDarkmorph
CaliforniaQuailMale                          Red-tailedHawkLightmorphadult
CaliforniaThrasher                           Red-tailedHawkLightmorphimmature
CaliforniaTowhee                             Red-throatedLoonBreeding
CalliopeHummingbirdAdultMale                 Red-throatedLoonNonbreedingjuvenile
CalliopeHummingbirdFemaleimmature            Red-wingedBlackbirdMale
CanadaGoose                                  RedCrossbillAdultMale
CanadaWarbler                                RedCrossbillFemalejuvenile
CanvasbackBreedingmale                       ReddishEgretDarkmorph
CanvasbackFemaleEclipsemale                  ReddishEgretWhitemorph
CanyonTowhee                                 RedheadBreedingmale
CanyonWren                                   RedheadFemaleEclipsemale
CarolinaChickadee                            Ring-billedGullAdult
CarolinaWren                                 Ring-billedGullImmature
CaspianTern                                  Ring-neckedDuckBreedingmale
CassinsFinchAdultMale                        Ring-neckedDuckFemaleEclipsemale
CassinsFinchFemaleimmature                   Ring-neckedPheasantFemalejuvenile
CassinsKingbird                              Ring-neckedPheasantMale
CassinsVireo                                 RockPigeon
CattleEgret                                  Rose-breastedGrosbeakAdultMale
CaveSwallow                                  RoseateSpoonbill
CedarWaxwing                                 RosssGoose
Chestnut-backedChickadee                     Rough-leggedHawkDarkmorph
Chestnut-sidedWarblerFemaleimmaturemale      Rough-leggedHawkLightmorph
ChihuahuanRaven                              RoyalTern
ChimneySwift                                 Ruby-crownedKinglet
ChippingSparrowBreeding                      Ruby-throatedHummingbirdFemaleimmature
CinnamonTealFemalejuvenile                   RuddyDuckBreedingmale
CinnamonTealMale                             RuddyDuckFemalejuvenile
ClarksGrebe                                  RuddyDuckWintermale
ClarksNutcracker                             RuddyTurnstone
Clay-coloredSparrow                          RuffedGrouse
CliffSwallow                                 Rufous-crownedSparrow
CommonEiderAdultmale                         RufousHummingbirdAdultMale
CommonEiderFemalejuvenile                    RufousHummingbirdFemaleimmature
CommonEiderImmatureEclipsemale               RustyBlackbird
CommonGallinuleAdult                         SanderlingBreeding
CommonGallinuleImmature                      SanderlingNonbreedingjuvenile
CommonGoldeneyeBreedingmale                  SandhillCrane
CommonGoldeneyeFemaleEclipsemale             SaysPhoebe
CommonGrackle                                ScaledQuail
CommonGround-Dove                            ScarletTanagerBreedingMale
CommonLoonBreeding                           ScarletTanagerFemaleNonbreedingMale
CommonLoonNonbreedingjuvenile                Scissor-tailedFlycatcher
CommonMerganserBreedingmale                  SemipalmatedPlover
CommonMerganserFemaleimmaturemale            SemipalmatedSandpiper
CommonRaven                                  Sharp-shinnedHawkAdult
CommonRedpoll                                Sharp-shinnedHawkImmature
CommonYellowthroatFemaleimmaturemale         Short-billedDowitcher
CoopersHawkAdult                             SnowBuntingBreedingadult
CoopersHawkImmature                          SnowBuntingNonbreeding
CordilleranFlycatcher                        SnowGooseBluemorph
CostasHummingbirdAdultMale                   SnowGooseWhitemorph
CostasHummingbirdFemaleimmature              SnowyEgret
CrestedCaracara                              SnowyOwl
Curve-billedThrasher                         SolitarySandpiper
Dark-eyedJuncoRed-backedGray-headed          SongSparrow
Dark-eyedJuncoWhite-winged                   SpottedSandpiperBreeding
Dickcissel                                   SpottedSandpiperNonbreedingjuvenile
Double-crestedCormorantAdult                 SpottedTowhee
Double-crestedCormorantImmature              StellersJay
DunlinBreeding                               SurfScoterFemaleimmature
DunlinNonbreedingjuvenile                    SurfScoterMale
EaredGrebeBreeding                           Surfbird
EasternBluebird                              SwainsonsHawkDarkmorph
EasternKingbird                              SwainsonsHawkImmature
EasternMeadowlark                            SwainsonsHawkLightmorph
EasternPhoebe                                SwainsonsThrush
EasternScreech-Owl                           Swallow-tailedKite
EasternTowhee                                SwampSparrow
EasternWood-Pewee                            TownsendsSolitaire
EurasianCollared-Dove                        TownsendsWarbler
EuropeanStarlingBreedingAdult                TricoloredHeron
EuropeanStarlingJuvenile                     TrumpeterSwan
EuropeanStarlingNonbreedingAdult             TuftedTitmouse
EveningGrosbeakAdultMale                     TundraSwan
ForstersTern                                 TurkeyVulture
FoxSparrowRed                                VariedThrush
FoxSparrowSooty                              VauxsSwift
FoxSparrowThick-billedSlate-colored          Veery
GadwallBreedingmale                          Verdin
GadwallFemaleEclipsemale                     VermilionFlycatcherAdultmale
GambelsQuailFemalejuvenile                   VermilionFlycatcherFemaleimmature
GambelsQuailMale                             VesperSparrow
GilaWoodpecker                               Violet-greenSwallow
Glaucous-wingedGullAdult                     WarblingVireo
GlossyIbis                                   WesternBluebird
Golden-crownedKinglet                        WesternGrebe
Golden-crownedSparrowAdult                   WesternGullAdult
Golden-crownedSparrowImmature                WesternKingbird
Golden-frontedWoodpecker                     WesternSandpiper
GoldenEagleAdult                             WesternScreech-Owl
GoldenEagleImmature                          WesternScrub-Jay
Gray-crownedRosy-Finch                       WesternTanagerBreedingMale
GrayJay                                      WesternTanagerFemaleNonbreedingMale
Great-tailedGrackle                          WesternWood-Pewee
GreatBlack-backedGullAdult                   Whimbrel
GreatBlack-backedGullImmature                White-crownedSparrowImmature
GreatBlueHeron                               White-eyedVireo
GreatCormorantAdult                          White-facedIbis
GreatCormorantImmature                       White-tailedKite
GreatEgret                                   White-throatedSwift
GreatHornedOwl                               White-wingedCrossbillAdultMale
GreaterRoadrunner                            White-wingedCrossbillFemalejuvenile
GreaterScaupBreedingmale                     White-wingedDove
GreaterScaupFemaleEclipsemale                White-wingedScoterFemalejuvenile
GreaterWhite-frontedGoose                    White-wingedScoterMale
GreaterYellowlegs                            WhiteIbisAdult
Green-wingedTealFemalejuvenile               WhiteIbisImmature
Green-wingedTealMale                         WildTurkey
GreenHeron                                   Willet
HairyWoodpecker                              WilsonsPhalaropeBreeding
HarlequinDuckFemalejuvenile                  WilsonsPhalaropeNonbreedingjuvenile
HarlequinDuckMale                            WilsonsSnipe
HarrissHawk                                  WinterWren
HarrissSparrowAdult                          WoodDuckBreedingmale
HeermannsGullImmature                        WoodDuckFemaleEclipsemale
HermitThrush                                 WoodStork
HermitWarbler                                WoodThrush
HoaryRedpoll                                 Wrentit
HoodedOrioleAdultmale                        Yellow-belliedSapsucker
HoodedWarbler                                Yellow-billedMagpie
HouseFinchAdultMale                          Yellow-breastedChat
HouseFinchFemaleimmature                     Yellow-crownedNight-HeronAdult
HouseSparrowFemaleJuvenile                   Yellow-crownedNight-HeronImmature
HouseSparrowMale                             Yellow-headedBlackbirdAdultMale
HuttonsVireo                                 Yellow-headedBlackbirdFemaleImmatureMale
IncaDove                                     Yellow-rumpedWarblerBreedingAudubons
IndigoBuntingAdultMale                       Yellow-rumpedWarblerBreedingMyrtle
JuniperTitmouse                              Yellow-rumpedWarblerWinterjuvenileAudubons
Killdeer                                     Yellow-throatedVireo
Ladder-backedWoodpecker                      Yellow-throatedWarbler

