AbertsTowhee                                      HoodedWarbler
GreaterScaupFemaleEclipsemale                     WilsonsWarbler
GreaterYellowlegs                                 WinterWren
Green-tailedTowhee                                WoodDuckBreedingmale
Green-wingedTealFemalejuvenile                    WoodStork
Green-wingedTealMale                              WoodThrush
GreenHeron                                        Yellow-belliedSapsucker
HarlequinDuckFemalejuvenile                       Yellow-billedCuckoo
HarrissSparrowAdult                               Yellow-breastedChat
HarrissSparrowImmature                            Yellow-crownedNight-HeronAdult
HeermannsGullAdult                                Yellow-crownedNight-HeronImmature
HeermannsGullImmature                             Yellow-headedBlackbirdAdultMale
HermitWarbler                                     Yellow-headedBlackbirdFemaleImmatureMale
HerringGullAdult                                  Yellow-rumpedWarblerBreedingAudubons
HerringGullImmature                               Yellow-rumpedWarblerBreedingMyrtle
HoaryRedpoll                                      Yellow-rumpedWarblerWinterjuvenileMyrtle
HoodedMerganserBreedingmale                       Yellow-throatedVireo
HoodedMerganserFemaleimmaturemale                 Yellow-throatedWarbler
HoodedOrioleAdultmale                             YellowWarbler
HoodedOrioleFemaleImmaturemale

