AbertsTowhee                                      HornedGrebeBreeding
BullocksOrioleFemaleImmaturemale                  Red-neckedGrebeNonbreedingjuvenile
BurrowingOwl                                      Red-shoulderedHawkAdult
Bushtit                                           Red-shoulderedHawkImmature
CacklingGoose                                     Red-tailedHawkDarkmorph
CactusWren                                        Red-tailedHawkLightmorphadult
CaliforniaGullAdult                               Red-tailedHawkLightmorphimmature
CaliforniaGullImmature                            Red-throatedLoonBreeding
CaliforniaQuailMale                               Red-throatedLoonNonbreedingjuvenile
CaliforniaThrasher                                Red-wingedBlackbirdFemalejuvenile
CaliforniaTowhee                                  Red-wingedBlackbirdMale
CalliopeHummingbirdAdultMale                      RedCrossbillAdultMale
CalliopeHummingbirdFemaleimmature                 RedCrossbillFemalejuvenile
CanadaGoose                                       ReddishEgretDarkmorph
CanvasbackBreedingmale                            ReddishEgretWhitemorph
CanvasbackFemaleEclipsemale                       RedheadBreedingmale
CanyonTowhee                                      RedheadFemaleEclipsemale
CanyonWren                                        Ring-neckedDuckBreedingmale
CapeMayWarbler                                    Ring-neckedDuckFemaleEclipsemale
CarolinaChickadee                                 Ring-neckedPheasantFemalejuvenile
CassinsFinchAdultMale                             Ring-neckedPheasantMale
CassinsFinchFemaleimmature                        RockPigeon
CassinsKingbird                                   Rose-breastedGrosbeakFemaleimmaturemale
CassinsVireo                                      RoseateSpoonbill
CattleEgret                                       RosssGoose
CaveSwallow                                       Rough-leggedHawkDarkmorph
Chestnut-backedChickadee                          Rough-leggedHawkLightmorph
Chestnut-sidedWarblerBreedingmale                 RoyalTern
Chestnut-sidedWarblerFemaleimmaturemale           Ruby-crownedKinglet
ChihuahuanRaven                                   Ruby-throatedHummingbirdAdultMale
ChimneySwift                                      RuddyDuckBreedingmale
ChippingSparrowImmaturenonbreedingadult           RuddyDuckFemalejuvenile
CinnamonTealFemalejuvenile                        RuddyDuckWintermale
CinnamonTealMale                                  RuddyTurnstone
ClarksGrebe                                       RuffedGrouse
Clay-coloredSparrow                               Rufous-crownedSparrow
CommonEiderAdultmale                              SanderlingBreeding
CommonEiderFemalejuvenile                         SanderlingNonbreedingjuvenile
CommonEiderImmatureEclipsemale                    SandhillCrane
CommonGallinuleAdult                              SavannahSparrow
CommonGallinuleImmature                           SaysPhoebe
CommonGoldeneyeBreedingmale                       ScaledQuail
CommonGoldeneyeFemaleEclipsemale                  ScarletTanagerFemaleNonbreedingMale
CommonGrackle                                     SemipalmatedPlover
CommonGround-Dove                                 SemipalmatedSandpiper
CommonLoonBreeding                                Sharp-shinnedHawkAdult
CommonLoonNonbreedingjuvenile                     Sharp-shinnedHawkImmature
CommonMerganserBreedingmale                       Short-billedDowitcher
CommonMerganserFemaleimmaturemale                 SnowBuntingBreedingadult
CommonNighthawk                                   SnowBuntingNonbreeding
CommonRedpoll                                     SnowGooseBluemorph
CommonTern                                        SnowGooseWhitemorph
CommonYellowthroatAdultMale                       SnowyEgret
CommonYellowthroatFemaleimmaturemale              SnowyOwl
CoopersHawkAdult                                  SolitarySandpiper
CoopersHawkImmature                               SpottedSandpiperBreeding
CordilleranFlycatcher                             SpottedSandpiperNonbreedingjuvenile
CostasHummingbirdAdultMale                        SpottedTowhee
CostasHummingbirdFemaleimmature                   StellersJay
CrestedCaracara                                   SummerTanagerAdultMale
Curve-billedThrasher                              SummerTanagerFemale
Dark-eyedJuncoOregon                              SummerTanagerImmatureMale
Dark-eyedJuncoPink-sided                          SurfScoterFemaleimmature
Dark-eyedJuncoSlate-colored                       SurfScoterMale
Dickcissel                                        Surfbird
Double-crestedCormorantAdult                      SwainsonsHawkDarkmorph
Double-crestedCormorantImmature                   SwainsonsHawkImmature
DownyWoodpecker                                   SwainsonsHawkLightmorph
DunlinBreeding                                    SwainsonsThrush
DunlinNonbreedingjuvenile                         Swallow-tailedKite
EaredGrebeNonbreedingjuvenile                     SwampSparrow
EasternBluebird                                   TennesseeWarbler
EasternKingbird                                   TownsendsSolitaire
EasternMeadowlark                                 TownsendsWarbler
EasternPhoebe                                     TreeSwallow
EasternScreech-Owl                                TricoloredHeron
EasternWood-Pewee                                 TrumpeterSwan
EurasianCollared-Dove                             TuftedTitmouse
EuropeanStarlingBreedingAdult                     TundraSwan
EuropeanStarlingJuvenile                          TurkeyVulture
EuropeanStarlingNonbreedingAdult                  VariedThrush
EveningGrosbeakFemaleJuvenile                     VauxsSwift
FieldSparrow                                      Veery
FishCrow                                          Verdin
FloridaScrub-Jay                                  Violet-greenSwallow
GambelsQuailFemalejuvenile                        WesternBluebird
GambelsQuailMale                                  WesternGullImmature
GilaWoodpecker                                    WesternKingbird
Glaucous-wingedGullImmature                       WesternMeadowlark
GlossyIbis                                        WesternSandpiper
Golden-crownedKinglet                             WesternScreech-Owl
Golden-crownedSparrowAdult                        WesternScrub-Jay
Golden-crownedSparrowImmature                     WesternTanagerBreedingMale
Golden-frontedWoodpecker                          WesternTanagerFemaleNonbreedingMale
GoldenEagleAdult                                  Whimbrel
GoldenEagleImmature                               White-breastedNuthatch
GrayCatbird                                       White-crownedSparrowAdult
GrayJay                                           White-facedIbis
Great-tailedGrackle                               White-tailedKite
GreatBlack-backedGullAdult                        White-throatedSparrowTan-stripedimmature
GreatBlack-backedGullImmature                     White-throatedSparrowWhite-striped
GreatBlueHeron                                    White-throatedSwift
GreatCormorantAdult                               White-wingedCrossbillAdultMale
GreatCormorantImmature                            White-wingedCrossbillFemalejuvenile
GreatCrestedFlycatcher                            White-wingedDove
GreatEgret                                        White-wingedScoterFemalejuvenile
GreatHornedOwl                                    White-wingedScoterMale
GreaterRoadrunner                                 WhiteIbisAdult
GreaterScaupBreedingmale                          WhiteIbisImmature
GreaterScaupFemaleEclipsemale                     WildTurkey
GreaterWhite-frontedGoose                         Willet
GreaterYellowlegs                                 WilsonsPhalaropeBreeding
Green-tailedTowhee                                WilsonsPhalaropeNonbreedingjuvenile
Green-wingedTealFemalejuvenile                    WilsonsSnipe
Green-wingedTealMale                              WilsonsWarbler
GreenHeron                                        WoodDuckBreedingmale
HairyWoodpecker                                   WoodDuckFemaleEclipsemale
HarlequinDuckFemalejuvenile                       WoodStork
HarlequinDuckMale                                 WoodThrush
HarrissHawk                                       Wrentit
HarrissSparrowImmature                            Yellow-belliedSapsucker
HeermannsGullAdult                                Yellow-billedCuckoo
HermitThrush                                      Yellow-billedMagpie
HermitWarbler                                     Yellow-crownedNight-HeronAdult
HerringGullAdult                                  Yellow-crownedNight-HeronImmature
HerringGullImmature                               Yellow-rumpedWarblerBreedingAudubons
HoaryRedpoll                                      Yellow-rumpedWarblerWinterjuvenileAudubons
HoodedMerganserBreedingmale                       Yellow-rumpedWarblerWinterjuvenileMyrtle
HoodedMerganserFemaleimmaturemale                 Yellow-throatedWarbler
HoodedOrioleFemaleImmaturemale                    YellowWarbler

